iter	Passed	Remaining
472	726	809
473	728	808
474	729	806
475	731	805
476	733	804
477	735	803
478	737	801
479	738	800
480	740	799
481	742	797
482	743	796
483	745	794
484	747	794
485	749	793
486	751	791
487	753	790
488	755	789
489	757	787
490	758	786
491	760	785
492	762	784
493	764	783
494	766	782
495	768	781
496	770	779
497	772	778
498	774	777
499	776	776
500	778	775
501	780	773
502	781	772
503	783	770
504	784	769
505	787	768
506	788	767
507	790	765
508	792	764
509	794	762
510	795	761
511	797	759
512	798	758
513	801	757
514	802	756
515	804	754
516	806	753
517	808	752
518	809	750
519	811	749
520	812	747
521	814	746
522	816	744
523	818	743
524	819	741
525	822	740
526	823	739
527	825	737
528	827	736
529	829	735
530	830	733
531	832	732
532	833	730
533	836	729
534	837	728
535	839	726
536	840	725
537	842	723
538	844	722
539	846	720
540	847	719
541	849	717
542	851	716
543	853	715
544	855	714
545	857	713
546	859	711
547	861	710
548	863	709
549	864	707
550	867	706
551	868	705
552	870	703
553	872	702
554	873	700
555	875	698
556	876	697
557	878	695
558	879	693
559	881	692
560	883	691
561	885	690
562	887	688
563	888	686
564	890	685
565	891	683
566	892	681
567	894	680
568	896	679
569	898	677
570	899	675
571	901	674
572	902	672
573	904	671
574	905	669
575	907	667
576	908	666
577	911	665
578	913	663
579	914	662
580	916	660
581	917	659
582	919	657
583	920	655
584	922	654
585	923	652
586	925	651
587	927	649
588	929	648
589	930	646
590	932	645
591	933	643
592	934	641
593	936	640
594	938	638
595	940	637
596	942	636
597	943	634
598	945	632
599	946	631
600	948	629
601	949	627
602	951	626
603	953	624
604	955	623
605	956	622
606	958	620
607	959	618
608	961	617
609	962	615
610	964	614
611	966	612
612	967	611
613	969	609
614	971	608
615	972	606
616	974	604
617	975	602
618	976	601
619	978	599
620	980	598
621	981	596
622	982	594
623	984	593
624	985	591
625	987	589
626	988	588
627	989	586
628	991	584
629	992	583
630	994	581
631	996	579
632	997	578
633	999	576
634	1000	575
635	1002	573
636	1003	571
637	1004	570
638	1006	568
639	1007	566
640	1009	565
641	1010	563
642	1012	562
643	1014	560
644	1015	558
645	1016	557
646	1018	555
647	1034	562
648	1036	560
649	1037	558
650	1039	557
651	1040	555
652	1042	553
653	1043	552
654	1045	550
655	1046	548
656	1048	547
657	1050	545
658	1051	544
659	1053	542
660	1054	540
661	1055	539
662	1057	537
663	1059	535
664	1060	534
665	1061	532
666	1063	531
667	1065	529
668	1066	527
669	1067	525
670	1069	524
671	1070	522
672	1072	521
673	1073	519
674	1075	517
675	1077	516
676	1078	514
677	1079	512
678	1081	511
679	1082	509
680	1083	507
681	1085	506
682	1086	504
683	1088	502
684	1089	501
685	1091	499
686	1092	497
687	1094	496
688	1095	494
689	1097	492
690	1098	491
691	1099	489
692	1101	487
693	1103	486
694	1105	485
695	1107	483
696	1109	482
697	1110	480
698	1112	478
699	1113	477
700	1114	475
701	1116	473
702	1118	472
703	1120	471
704	1121	469
705	1123	467
706	1124	466
707	1126	464
708	1127	462
709	1129	461
710	1130	459
711	1132	458
712	1134	456
713	1135	454
714	1136	453
715	1138	451
716	1139	449
717	1141	448
718	1142	446
719	1144	444
720	1145	443
721	1147	441
722	1148	440
723	1150	438
724	1151	436
725	1152	435
726	1154	433
727	1155	431
728	1156	430
729	1158	428
730	1160	427
731	1162	425
732	1163	423
733	1164	422
734	1166	420
735	1167	418
736	1168	417
737	1170	415
738	1171	413
739	1173	412
740	1174	410
741	1176	409
742	1177	407
743	1179	405
744	1180	404
745	1181	402
746	1183	400
747	1184	399
748	1186	397
749	1187	395
750	1189	394
751	1191	392
752	1192	391
753	1193	389
754	1195	387
755	1196	386
756	1197	384
757	1199	382
758	1201	381
759	1202	379
760	1204	378
761	1206	376
762	1207	375
763	1208	373
764	1210	371
765	1211	370
766	1212	368
767	1214	366
768	1215	365
769	1217	363
770	1218	362
771	1220	360
772	1221	358
773	1223	357
774	1224	355
775	1225	353
776	1227	352
777	1228	350
778	1230	349
779	1231	347
780	1232	345
781	1235	344
782	1236	342
783	1237	341
784	1239	339
785	1240	337
786	1242	336
787	1243	334
788	1245	333
789	1246	331
790	1248	329
791	1249	328
792	1251	326
793	1252	324
794	1253	323
795	1255	321
796	1257	320
797	1258	318
798	1259	316
799	1261	315
